# GOODBYE ADS
#
# Goodbye Ads is Specially Designed for Mobile Ad Protection.
#
# Github : https://github.com/jerryn70/GoodbyeAds
# Telegram : https://t.me/GoodbyeAds
# XDA : https://forum.xda-developers.com/android/software-hacking/goodbye-ads-advanced-protection-ads-ad-t3827269
#
# Type : GoodbyeAds YouTube AdBlock
# Updated On:03-02-2020 
# Created by:Jerryn70 (XDA Senior Member)
#
# LOCAL HOSTS
#
0.0.0.0 r9.sn-4g57kn7e.googlevideo.com
0.0.0.0 r9.sn-4g57knd7.googlevideo.com
0.0.0.0 r9.sn-4g57kner.googlevideo.com
0.0.0.0 r9.sn-4g5e6n7d.googlevideo.com
0.0.0.0 r9.sn-4g5e6nez.googlevideo.com
0.0.0.0 r9.sn-5hne6n7s.googlevideo.com
0.0.0.0 r9.sn-5uaezn6k.googlevideo.com
0.0.0.0 r9.sn-5uaeznd7.googlevideo.com
0.0.0.0 r9.sn-5uaeznk7.googlevideo.com
0.0.0.0 r9.sn-5uaeznkl.googlevideo.com
0.0.0.0 r9.sn-5uaeznks.googlevideo.com
0.0.0.0 r9.sn-5uaeznls.googlevideo.com
0.0.0.0 r9.sn-5ualdn7d.googlevideo.com
0.0.0.0 r9.sn-5ualdn7e.googlevideo.com
0.0.0.0 r9.sn-5ualdn7l.googlevideo.com
0.0.0.0 r9.sn-a5m7lnlz.googlevideo.com
0.0.0.0 r9.sn-a5mlrn7z.googlevideo.com
0.0.0.0 r9.sn-aigl6n76.googlevideo.com
0.0.0.0 r9.sn-aiglln7r.googlevideo.com
0.0.0.0 r9.sn-aigllnds.googlevideo.com
0.0.0.0 r9.sn-p5qlsn6l.googlevideo.com
0.0.0.0 r9.sn-p5qlsn6s.googlevideo.com
0.0.0.0 r9.sn-p5qlsnzd.googlevideo.com
0.0.0.0 r9.sn-p5qs7n7l.googlevideo.com
0.0.0.0 r9.sn-p5qs7n7s.googlevideo.com
0.0.0.0 r9.sn-p5qs7nee.googlevideo.com
0.0.0.0 r9.sn-q4f7snes.googlevideo.com
0.0.0.0 r9.sn-u2bpouxgoxu-hxaz.googlevideo.com
0.0.0.0 r9.sn-vgqs7n7k.googlevideo.com
0.0.0.0 r9.sn-vgqs7ne7.googlevideo.com
0.0.0.0 r9.sn-vgqs7nez.googlevideo.com
0.0.0.0 r9.sn-vgqs7nly.googlevideo.com
0.0.0.0 r9.sn-vgqs7nlz.googlevideo.com
0.0.0.0 r9.sn-vgqsen76.googlevideo.com
0.0.0.0 r9.sn-vgqsen7z.googlevideo.com
0.0.0.0 r9.sn-vgqsenes.googlevideo.com
0.0.0.0 r9.sn-vgqsenld.googlevideo.com
0.0.0.0 r10.sn-25ge7nes.googlevideo.com
0.0.0.0 r10.sn-4g57kn7e.googlevideo.com
0.0.0.0 r10.sn-4g57knd7.googlevideo.com
0.0.0.0 r10.sn-4g57kner.googlevideo.com
0.0.0.0 r10.sn-4g5e6n7d.googlevideo.com
0.0.0.0 r10.sn-4g5e6nez.googlevideo.com
0.0.0.0 r10.sn-5hne6n7s.googlevideo.com
0.0.0.0 r10.sn-5uaezn6k.googlevideo.com
0.0.0.0 r10.sn-5uaeznd7.googlevideo.com
0.0.0.0 r10.sn-5uaeznk7.googlevideo.com
0.0.0.0 r10.sn-5uaeznkl.googlevideo.com
0.0.0.0 r10.sn-5uaeznks.googlevideo.com
0.0.0.0 r10.sn-5uaeznls.googlevideo.com
0.0.0.0 r10.sn-5ualdn7d.googlevideo.com
0.0.0.0 r10.sn-5ualdn7e.googlevideo.com
0.0.0.0 r10.sn-5ualdn7l.googlevideo.com
0.0.0.0 r10.sn-a5m7lnlz.googlevideo.com
0.0.0.0 r10.sn-a5mlrn7z.googlevideo.com
0.0.0.0 r10.sn-aigl6n76.googlevideo.com
0.0.0.0 r10.sn-aiglln7r.googlevideo.com
0.0.0.0 r10.sn-aigllnds.googlevideo.com
0.0.0.0 r10.sn-p5qlsn6l.googlevideo.com
0.0.0.0 r10.sn-p5qlsn6s.googlevideo.com
0.0.0.0 r10.sn-p5qlsnzd.googlevideo.com
0.0.0.0 r10.sn-p5qs7n7l.googlevideo.com
0.0.0.0 r10.sn-p5qs7n7s.googlevideo.com
0.0.0.0 r10.sn-p5qs7nee.googlevideo.com
0.0.0.0 r10.sn-q4f7snes.googlevideo.com
0.0.0.0 r10.sn-u2bpouxgoxu-hxaz.googlevideo.com
0.0.0.0 r10.sn-vgqs7n7k.googlevideo.com
0.0.0.0 r10.sn-vgqs7ne7.googlevideo.com
0.0.0.0 r10.sn-vgqs7nez.googlevideo.com
0.0.0.0 r10.sn-vgqs7nly.googlevideo.com
0.0.0.0 r10.sn-vgqs7nlz.googlevideo.com
0.0.0.0 r10.sn-vgqsen76.googlevideo.com
0.0.0.0 r10.sn-vgqsen7z.googlevideo.com
0.0.0.0 r10.sn-vgqsenes.googlevideo.com
0.0.0.0 r10.sn-vgqsenld.googlevideo.com
0.0.0.0 r11.sn-25ge7nes.googlevideo.com
0.0.0.0 r11.sn-4g57kn7e.googlevideo.com
0.0.0.0 r11.sn-4g57knd7.googlevideo.com
0.0.0.0 r11.sn-4g57kner.googlevideo.com
0.0.0.0 r11.sn-4g5e6n7d.googlevideo.com
0.0.0.0 r11.sn-4g5e6nez.googlevideo.com
0.0.0.0 r11.sn-5hne6n7s.googlevideo.com
0.0.0.0 r11.sn-5uaezn6k.googlevideo.com
0.0.0.0 r11.sn-5uaeznd7.googlevideo.com
0.0.0.0 r11.sn-5uaeznk7.googlevideo.com
0.0.0.0 r11.sn-5uaeznkl.googlevideo.com
0.0.0.0 r11.sn-5uaeznks.googlevideo.com
0.0.0.0 r11.sn-5uaeznls.googlevideo.com
0.0.0.0 r11.sn-5ualdn7d.googlevideo.com
0.0.0.0 r11.sn-5ualdn7e.googlevideo.com
0.0.0.0 r11.sn-5ualdn7l.googlevideo.com
0.0.0.0 r11.sn-a5m7lnlz.googlevideo.com
0.0.0.0 r11.sn-a5mlrn7z.googlevideo.com
0.0.0.0 r11.sn-aigl6n76.googlevideo.com
0.0.0.0 r11.sn-aiglln7r.googlevideo.com
0.0.0.0 r11.sn-aigllnds.googlevideo.com
0.0.0.0 r11.sn-p5qlsn6l.googlevideo.com
0.0.0.0 r11.sn-p5qlsn6s.googlevideo.com
0.0.0.0 r11.sn-p5qlsnzd.googlevideo.com
0.0.0.0 r11.sn-p5qs7n7l.googlevideo.com
0.0.0.0 r11.sn-p5qs7n7s.googlevideo.com
0.0.0.0 r11.sn-p5qs7nee.googlevideo.com
0.0.0.0 r11.sn-q4f7snes.googlevideo.com
0.0.0.0 r11.sn-u2bpouxgoxu-hxaz.googlevideo.com
0.0.0.0 r11.sn-vgqs7n7k.googlevideo.com
0.0.0.0 r11.sn-vgqs7ne7.googlevideo.com
0.0.0.0 r11.sn-vgqs7nez.googlevideo.com
0.0.0.0 r11.sn-vgqs7nly.googlevideo.com
0.0.0.0 r11.sn-vgqs7nlz.googlevideo.com
0.0.0.0 r11.sn-vgqsen76.googlevideo.com
0.0.0.0 r11.sn-vgqsen7z.googlevideo.com
0.0.0.0 r11.sn-vgqsenes.googlevideo.com
0.0.0.0 r11.sn-vgqsenld.googlevideo.com
0.0.0.0 r12.sn-25ge7nes.googlevideo.com
0.0.0.0 r12.sn-4g57kn7e.googlevideo.com
0.0.0.0 r12.sn-4g57knd7.googlevideo.com
0.0.0.0 r12.sn-4g57kner.googlevideo.com
0.0.0.0 r12.sn-4g5e6n7d.googlevideo.com
0.0.0.0 r12.sn-4g5e6nez.googlevideo.com
0.0.0.0 r12.sn-5hne6n7s.googlevideo.com
0.0.0.0 r12.sn-5uaezn6k.googlevideo.com
0.0.0.0 r12.sn-5uaeznd7.googlevideo.com
0.0.0.0 r12.sn-5uaeznk7.googlevideo.com
0.0.0.0 r12.sn-5uaeznkl.googlevideo.com
0.0.0.0 r12.sn-5uaeznks.googlevideo.com
0.0.0.0 r12.sn-5uaeznls.googlevideo.com
0.0.0.0 r12.sn-5ualdn7d.googlevideo.com
0.0.0.0 r12.sn-5ualdn7e.googlevideo.com
0.0.0.0 r12.sn-5ualdn7l.googlevideo.com
0.0.0.0 r12.sn-a5m7lnlz.googlevideo.com
0.0.0.0 r12.sn-a5mlrn7z.googlevideo.com
0.0.0.0 r12.sn-aigl6n76.googlevideo.com
0.0.0.0 r12.sn-aiglln7r.googlevideo.com
0.0.0.0 r12.sn-aigllnds.googlevideo.com
0.0.0.0 r12.sn-p5qlsn6l.googlevideo.com
0.0.0.0 r12.sn-p5qlsn6s.googlevideo.com
0.0.0.0 r12.sn-p5qlsnzd.googlevideo.com
0.0.0.0 r12.sn-p5qs7n7l.googlevideo.com
